,ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms
9957,9958,B,Ship,7,4,282,4,low,M,6,1800
1507,1508,F,Flight,4,1,135,2,medium,F,64,1471
6382,6383,C,Ship,4,1,214,2,low,F,10,4447
1559,1560,F,Ship,3,1,171,2,low,M,1,1629
5703,5704,B,Ship,5,5,248,2,low,M,4,5587
6075,6076,B,Ship,3,1,230,3,medium,M,3,4957
3692,3693,A,Road,5,3,203,2,medium,M,4,4311
8990,8991,A,Ship,4,2,239,4,low,F,10,5528
4466,4467,A,Ship,2,4,166,3,low,M,8,4968
1836,1837,D,Ship,3,1,180,3,low,M,52,1838
10512,10513,D,Ship,4,5,226,2,low,M,10,4706
3781,3782,F,Ship,4,1,197,3,low,F,6,5032
981,982,B,Ship,3,5,243,3,medium,M,4,3189
9225,9226,B,Ship,5,4,244,6,high,F,3,4089
1354,1355,C,Road,3,1,182,3,medium,F,40,3536
2870,2871,A,Road,3,3,120,3,low,F,55,1534
45,46,B,Ship,5,1,210,3,low,F,9,2944
2542,2543,C,Ship,2,5,190,8,medium,M,11,2976
104,105,A,Ship,3,3,218,3,low,M,3,2255
748,749,C,Ship,3,2,182,3,medium,F,39,3828
5898,5899,D,Flight,4,3,190,5,low,F,8,4736
3617,3618,F,Ship,4,5,208,5,low,F,7,5833
6695,6696,F,Road,3,5,254,3,medium,M,5,4946
3881,3882,F,Ship,3,2,157,3,high,F,1,5398
5767,5768,F,Flight,5,4,259,5,low,F,2,1627
10390,10391,C,Road,5,2,222,3,medium,M,10,5644
7319,7320,F,Ship,4,1,209,3,low,F,7,4808
5035,5036,F,Ship,4,5,134,3,low,F,1,1008
535,536,F,Road,4,4,177,4,medium,F,32,1774
8313,8314,B,Ship,7,4,289,4,low,M,1,1657
10265,10266,F,Road,5,1,252,3,high,F,2,5032
10088,10089,A,Ship,4,1,267,4,medium,M,2,4024
9560,9561,A,Ship,3,2,236,2,medium,M,2,4239
2251,2252,F,Ship,5,1,143,2,low,M,46,1387
1025,1026,F,Ship,5,4,191,4,medium,M,63,2039
9939,9940,B,Ship,4,3,218,5,medium,F,9,1024
6011,6012,F,Road,7,1,276,4,low,F,8,1560
4617,4618,B,Ship,4,4,168,4,medium,F,4,4676
4372,4373,C,Road,3,3,190,3,medium,M,2,4468
5894,5895,A,Flight,4,3,142,2,low,F,5,5502
6434,6435,A,Flight,4,2,238,2,medium,F,9,4937
3519,3520,B,Ship,4,3,253,4,high,M,4,4868
6051,6052,B,Ship,6,5,165,6,low,F,6,1529
5198,5199,A,Road,5,5,271,4,high,F,6,4547
10611,10612,B,Ship,5,3,262,5,low,M,7,4157
6751,6752,F,Ship,3,5,109,2,high,M,2,5978
664,665,C,Road,4,5,197,3,low,F,34,3784
10697,10698,F,Flight,2,5,157,3,medium,F,4,4888
2889,2890,B,Flight,4,3,149,3,medium,M,17,1990
9443,9444,F,Road,5,2,258,5,low,M,3,1824
2970,2971,D,Ship,4,3,184,3,low,F,37,3436
10051,10052,F,Ship,6,1,113,2,medium,F,7,5234
5730,5731,D,Road,3,3,183,2,low,M,6,5015
4467,4468,B,Ship,2,3,176,3,low,F,6,5006
10877,10878,F,Ship,4,4,151,2,low,M,8,5724
10570,10571,C,Ship,5,1,262,2,medium,M,4,5761
3894,3895,D,Ship,2,3,197,3,low,F,7,4632
8824,8825,C,Ship,5,2,254,6,low,M,5,1885
675,676,B,Road,4,4,227,3,medium,F,1,2761
8171,8172,F,Ship,4,2,224,3,low,F,9,4896
4580,4581,A,Ship,3,1,237,2,low,M,9,4626
7050,7051,D,Ship,3,2,223,2,low,F,10,4604
8294,8295,A,Ship,4,1,144,4,low,M,8,4970
4954,4955,C,Ship,4,4,211,3,medium,M,5,4812
8630,8631,A,Flight,7,1,254,4,medium,M,6,1279
3035,3036,F,Ship,5,2,184,2,medium,M,27,3276
1962,1963,D,Ship,2,1,165,4,low,F,57,1881
1840,1841,C,Ship,2,3,274,3,high,F,24,3829
10867,10868,F,Ship,4,3,195,3,low,M,7,4915
7171,7172,F,Ship,6,4,250,4,low,M,3,1490
6458,6459,A,Ship,3,2,198,2,low,M,9,4250
6875,6876,F,Ship,5,2,248,5,low,M,4,1284
7061,7062,F,Ship,3,4,257,4,low,M,10,4415
3320,3321,A,Ship,2,4,194,2,low,F,4,4803
5931,5932,B,Ship,2,5,189,5,low,M,3,5292
5627,5628,F,Flight,4,3,248,2,medium,F,2,4700
10510,10511,C,Ship,3,2,195,2,high,M,2,4669
4681,4682,F,Ship,5,4,139,2,medium,F,2,4217
8557,8558,F,Ship,4,5,262,6,low,M,10,1156
5916,5917,D,Ship,5,4,268,3,high,F,10,4955
8384,8385,A,Ship,3,1,223,2,low,M,8,5719
411,412,B,Flight,3,4,200,2,medium,M,14,3528
613,614,F,Ship,4,5,247,2,medium,F,18,2404
847,848,F,Ship,3,4,267,3,medium,F,62,3589
3710,3711,A,Flight,2,3,237,3,medium,M,2,5331
10405,10406,F,Road,5,2,245,5,low,F,9,1466
1430,1431,A,Ship,6,2,265,3,low,M,3,1904
4083,4084,B,Road,3,4,172,10,high,M,9,4883
10406,10407,A,Road,5,5,239,6,low,F,1,1984
4826,4827,A,Ship,2,5,205,6,low,M,2,5671
4793,4794,F,Flight,2,2,167,2,medium,F,3,5894
4053,4054,B,Ship,3,5,273,10,medium,F,5,4608
3463,3464,F,Ship,4,4,186,2,medium,F,9,4887
4216,4217,C,Ship,3,5,194,4,low,M,1,5534
1417,1418,F,Ship,3,3,166,2,low,F,45,1791
6914,6915,A,Ship,5,2,226,5,medium,M,5,1659
4336,4337,C,Ship,4,3,177,3,medium,F,4,4551
604,605,C,Ship,4,3,187,2,low,F,58,3665
1272,1273,D,Ship,3,5,257,3,low,F,52,2170
6447,6448,B,Flight,3,3,170,4,low,M,3,4049
7737,7738,B,Ship,5,2,232,6,medium,F,3,1540
6214,6215,C,Ship,6,5,295,4,medium,M,1,1159
