ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms
5032,B,Ship,6,4,294,4,medium,M,6,1112
7182,F,Ship,6,5,255,4,low,M,3,1624
3349,D,Ship,3,1,234,4,high,M,6,4942
8041,D,Ship,4,5,226,5,medium,M,8,1133
7531,D,Flight,3,4,174,3,low,F,10,4998
3125,C,Road,5,4,177,2,medium,F,45,1664
7786,B,Road,4,3,240,3,medium,M,6,4964
1903,D,Road,3,5,271,4,low,M,51,1134
2973,A,Ship,3,4,228,2,medium,M,46,3306
8590,B,Ship,3,2,195,10,low,F,9,4256
8129,C,Ship,3,4,274,3,low,F,7,5036
3404,F,Road,3,1,119,2,low,F,10,4146
9099,A,Ship,6,5,298,4,medium,F,5,1804
8472,F,Road,4,5,248,2,medium,M,4,4789
1095,A,Flight,3,1,185,3,medium,M,3,3051
2,F,Flight,4,5,216,2,low,M,59,3088
937,D,Road,3,2,250,3,low,F,49,3798
2751,A,Flight,3,5,214,8,high,M,50,3628
2773,D,Ship,2,3,159,3,medium,F,39,1477
6428,F,Road,3,5,172,3,medium,M,1,5024
4782,F,Road,3,4,233,3,medium,F,10,4626
8620,B,Road,5,3,267,6,low,M,10,1027
4920,F,Road,2,1,228,2,medium,M,10,4854
1386,F,Flight,3,5,166,2,low,M,45,1665
10437,A,Ship,5,4,171,3,low,F,1,5011
10806,F,Road,5,5,269,5,medium,F,3,1120
7544,F,Flight,4,4,155,3,medium,M,6,5033
2901,A,Ship,3,3,274,3,low,M,6,2986
9139,D,Ship,4,1,231,5,medium,M,6,1231
9201,A,Ship,4,2,215,2,high,F,10,4061
3791,C,Ship,4,2,245,2,low,M,8,5871
10168,B,Ship,5,1,130,4,high,F,9,4946
2232,F,Ship,4,3,218,3,high,F,57,3311
3002,F,Road,3,3,203,3,low,M,4,3114
521,C,Ship,3,1,145,2,low,F,34,1773
2737,D,Flight,3,3,191,4,medium,F,17,3675
3811,D,Road,4,3,257,10,medium,F,3,5881
9247,D,Ship,4,5,209,3,medium,F,4,4809
1239,A,Flight,3,5,183,3,medium,F,44,3158
306,F,Ship,4,4,249,3,medium,F,36,3769
2606,F,Flight,3,5,258,3,low,M,21,3446
3975,A,Flight,4,1,150,3,low,F,10,4470
3252,F,Ship,6,5,189,2,high,M,4,5898
10190,F,Ship,4,1,228,5,low,F,6,1874
9766,B,Ship,4,4,155,2,medium,F,6,5942
9831,A,Ship,4,3,213,4,medium,M,8,4220
4667,C,Flight,3,5,202,3,low,M,2,5208
6791,C,Ship,4,4,201,10,low,M,3,4202
9912,F,Ship,5,5,267,5,low,F,1,1352
3773,C,Ship,3,5,156,8,medium,F,9,4733
5183,C,Road,4,1,177,2,high,F,7,5599
1210,B,Road,5,1,238,3,low,M,32,3832
4965,A,Ship,4,1,177,2,medium,M,6,5566
2738,F,Flight,5,3,177,4,medium,M,60,1159
1690,B,Ship,2,4,137,3,high,F,41,1176
10140,F,Flight,4,5,258,5,low,M,3,1162
7125,A,Flight,6,4,260,3,medium,M,9,4730
2475,A,Flight,3,4,212,3,medium,F,13,2307
9102,F,Ship,5,3,223,5,medium,M,4,1817
2439,A,Ship,2,5,117,3,low,M,44,1192
9003,A,Ship,5,1,133,2,medium,M,1,4643
8923,D,Ship,5,5,229,5,medium,M,2,1975
5053,D,Road,4,1,133,2,medium,M,1,5274
4581,A,Ship,3,1,237,2,low,M,9,4626
7312,B,Ship,3,2,192,3,low,M,1,4308
1765,D,Road,2,1,167,2,low,M,46,1023
4318,B,Ship,4,5,211,4,medium,F,10,4004
3546,F,Road,4,3,186,3,low,M,7,5156
186,F,Ship,3,2,209,3,medium,M,54,3001
5079,A,Flight,4,3,181,3,medium,M,10,4541
5933,C,Ship,3,2,170,3,low,M,9,4069
537,A,Road,2,3,154,4,high,F,17,1897
8973,A,Ship,4,5,243,4,low,F,1,5328
9575,C,Road,6,2,191,6,medium,M,7,5333
10109,C,Ship,4,5,254,3,low,F,7,4363
