ID,Reached.on.Time_Y.N
5032,0
7182,1
3349,0
8041,0
7531,1
3125,1
7786,0
1903,1
2973,1
8590,0
8129,1
3404,1
9099,0
8472,1
1095,1
2,1
937,1
2751,1
2773,1
6428,1
4782,0
8620,0
4920,1
1386,1
10437,0
10806,0
7544,1
2901,1
9139,0
9201,1
3791,1
10168,1
2232,1
3002,1
521,1
2737,1
3811,1
9247,0
1239,1
306,1
2606,1
3975,0
3252,1
10190,0
9766,0
9831,0
4667,0
6791,0
9912,1
3773,1
5183,1
1210,1
4965,0
2738,1
1690,1
10140,0
7125,1
2475,1
9102,0
2439,1
9003,0
8923,1
5053,1
4581,1
7312,1
1765,1
4318,0
3546,1
186,1
5079,1
5933,0
537,1
8973,0
9575,1
10109,0
1952,1
8675,0
1928,1
6991,0
10447,0
4039,0
4501,1
5161,0
3020,1
6168,1
8828,0
3820,0
6240,1
7613,0
6423,1
2764,1
2158,1
2413,1
3367,1
9944,0
1574,1
2395,1
3159,1
4612,1
6139,1
9377,0
9788,0
5093,0
6568,0
6701,0
5222,0
3730,1
4832,1
4578,0
3318,0
7860,1
7477,1
8534,1
6347,0
918,1
2187,1
1480,1
3603,1
9101,1
2361,1
7684,1
10507,0
1565,1
108,1
4894,0
8606,0
7732,1
5431,0
6454,0
4339,1
5550,1
9097,0
4570,1
9683,1
2915,1
8250,1
8494,1
4812,0
344,1
1171,1
9287,1
83,1
6186,0
7500,1
10694,1
10126,1
2040,1
1137,1
8518,1
3268,1
7170,0
7618,1
8902,1
1606,1
1378,1
2729,1
3665,1
3612,1
6340,1
8723,0
6246,1
5069,0
2675,1
1976,1
516,1
922,1
5094,0
8834,1
6990,1
2745,1
5043,0
8407,1
9085,0
991,1
1435,1
9024,1
9977,1
4983,0
5133,0
3311,0
1641,1
4440,1
3917,1
9396,1
2385,1
10696,1
3953,0
789,1
1053,1
9170,1
222,1
10736,0
5671,1
4554,1
8016,0
6096,0
9243,0
925,1
3514,1
6282,1
9946,0
9961,0
9271,0
7370,0
2833,1
8732,0
819,1
5508,0
1282,1
2484,1
3932,0
7999,1
8196,1
4506,1
6172,0
10358,1
8071,0
4019,0
152,1
4762,1
770,1
5153,0
5240,1
8105,0
2174,1
8738,1
3044,1
5325,0
8393,0
10508,0
9557,0
7145,0
4425,0
8983,0
1585,1
7798,0
1664,1
7615,1
2282,1
4946,0
4276,1
9781,1
4006,1
5824,1
585,1
5090,0
4297,1
3699,0
6738,1
4219,0
983,1
10957,0
674,1
8276,0
5829,1
10325,1
5394,0
3258,0
2860,1
570,1
1025,1
6524,0
8619,1
5748,0
10191,1
4600,0
10604,1
10282,0
7183,1
4868,0
10205,1
3866,0
7439,0
8770,0
7917,1
8064,0
2443,1
2942,1
3378,0
9207,0
3964,0
4855,0
7043,0
9511,1
3777,0
5287,0
7641,1
10010,1
1249,1
4818,0
3129,1
6093,0
7272,0
8040,0
4859,1
5913,0
3260,1
10887,0
1395,1
5024,0
9410,0
10750,1
9246,1
1790,1
5580,1
376,1
3728,0
5942,1
2166,1
9958,0
9490,1
9202,0
6934,1
985,1
10969,0
1890,1
3780,1
5635,0
2064,1
4833,0
5926,1
8414,1
5776,1
7344,0
2032,1
5630,0
6385,1
947,1
9865,1
2525,1
4552,1
8334,1
7258,0
3545,0
4346,0
5158,0
3392,1
8903,1
10703,0
4876,1
1,1
6609,0
319,1
1618,1
2890,1
4030,0
1289,1
976,1
3317,1
6844,0
9306,0
8267,0
2095,1
10432,1
8748,0
1885,1
4508,1
5316,1
6798,0
4991,0
6450,1
650,1
6001,0
6684,1
3334,1
9393,0
8813,0
3755,1
5001,1
4370,1
579,1
3751,0
8124,0
8740,1
4730,0
2803,1
2641,1
10022,1
6616,0
7554,1
3119,1
6257,1
7121,0
137,1
2535,1
6972,1
5371,0
181,1
7944,1
6656,0
1734,1
5286,0
8667,0
391,1
6499,1
5534,1
